,algo,ovlp-P,ovlp-R,ovlp-F,sovl-P,sovl-R,sovl-F,dtct-P,dtct-R,dtct-F
0,seqRecur,0.8864875963708979,0.8586830541928412,0.865373811687752,0.8800353160755717,0.8652918967795784,0.8671617780080065,0.5066815476190476,0.6179166666666667,0.5434027084027082
0,seqRecurS,0.8625483447875031,0.29235493969830695,0.42906419606758267,0.8562719027812336,0.7966875385893597,0.8048982913172071,0.5125,0.1770833333333334,0.26125
0,highlighter,0.7171125000000004,0.2744485550386717,0.3885888564400745,0.704791666666667,0.6883139437582206,0.6750720052491282,0.3375,0.115625,0.1704166666666667
0,scluster,0.6550727846244867,0.7391519437628042,0.6507761881824494,0.6345839576860135,0.743157003173642,0.6377906828879507,0.3655157669128257,0.45270833333333327,0.38232174075924075
0,sf,0.7799339004378668,0.7324437049232173,0.723890479864463,0.7453863150476242,0.8763116225679959,0.7744671384695027,0.64375,0.5427083333333333,0.5769345238095236
0,olda,0.8406525346172865,0.7914094125411952,0.8053312885975338,0.8202899692044445,0.8877107683534472,0.839607101035418,0.6177083333333333,0.550625,0.5703670634920635
0,cnmf,0.6399978097377192,0.6672994051023386,0.6064882271430122,0.6122508180627885,0.7220950810486257,0.615892199109035,0.2069494047619047,0.22958333333333333,0.20350468975468972
0,foote,0.8120596279071359,0.7535465840703184,0.7666607251010576,0.7844638280581991,0.8562762749324697,0.8062687734837807,0.5637500000000001,0.47208333333333324,0.5033333333333333
0,seqRecur+,0.9067321576691812,0.8657010966908588,0.8788551728161067,0.8884140128353696,0.8733549228245174,0.8731057466190683,0.570625,0.6074999999999999,0.5803968253968252
0,scluster+,0.8326771026330964,0.8029684710852741,0.8031843328285371,0.8004819247466493,0.8584595611428748,0.8113941386192625,0.7427083333333333,0.6322916666666667,0.6691369047619046
0,sf+,0.7810566705825913,0.7458553754574224,0.7441533169366197,0.7449920864848554,0.8335535850411292,0.7702062353419133,0.684375,0.5854166666666667,0.619375
0,olda+,0.8429980426145066,0.8755373345421471,0.8518288479179692,0.8126807586327551,0.9230568124634037,0.8523105719066745,0.7125000000000001,0.6308333333333334,0.658611111111111
0,cnmf+,0.8181320261480967,0.7693300393378649,0.780690509123352,0.7841261125601998,0.8225955818262658,0.7907226727869479,0.5095833333333334,0.4606250000000002,0.47755952380952377
0,foote+,0.8275589885181921,0.8229381650290026,0.8149348311966644,0.788932431097876,0.9012919636961744,0.8295690435946481,0.6314583333333335,0.5397916666666667,0.5709226190476191
0,gtBoundary,0.9957890063554885,0.9954042762456071,0.9955956548470303,0.9957890063554885,0.9954042762456071,0.9955956548470303,1.0,1.0,1.0
0,refraiD,0.31061915778346144,0.10349054849597594,0.15269626523534938,0.3100158267348801,0.30684714761417997,0.30000335436616044,0.2125,0.06708333333333333,0.10125000000000002
